ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000713000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000708000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000708000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000707000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000704000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000700000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000695000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000691000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000691000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000682000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000681000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000680000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000680000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000679000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000675000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000674000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000673000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000670000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000670000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000668000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000668000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000668000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000660000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000658000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000657000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000648000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000647000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000647000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000647000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000645000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000644000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000641000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000633000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000627000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000623000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000614000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000613000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000612000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000604000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000602000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000602000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000594000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000591000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000584000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000583000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000583000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000580000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000580000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000580000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000569000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000565000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000556000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000537000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000532000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000530000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000525000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000514000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000506000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000505000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000502000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000496000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000495000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000493000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000489000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.000483000
